"filename", "language", "SCSS", "JSON", "TypeScript", "Markdown", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-paises\param-paises.component.html", "HTML", 0, 0, 0, 0, 66, 0, 0, 0, 4, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-paises\param-paises.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\param-paises\param-paises.component.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 9, 85
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\plan-auditoria\plan-auditoria.component.html", "HTML", 0, 0, 0, 0, 70, 0, 0, 0, 2, 72
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\plan-auditoria\plan-auditoria.component.scss", "SCSS", 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\plan-auditoria\plan-auditoria.component.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 8, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-ciclo-manager\pra-ciclo-manager.component.html", "HTML", 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-ciclo-manager\pra-ciclo-manager.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-ciclo-manager\pra-ciclo-manager.component.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-cronograma\pra-cronograma.component.html", "HTML", 0, 0, 0, 0, 68, 0, 0, 0, 2, 70
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-cronograma\pra-cronograma.component.scss", "SCSS", 40, 0, 0, 0, 0, 0, 0, 0, 1, 41
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-cronograma\pra-cronograma.component.ts", "TypeScript", 0, 0, 165, 0, 0, 0, 0, 0, 14, 179
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-direccion-sistema\pra-direccion-sistema.component.html", "HTML", 0, 0, 0, 0, 27, 0, 0, 43, 2, 72
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-direccion-sistema\pra-direccion-sistema.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\PROYECTOS\ibnorca\ibnorca-pwa\ibnorca-pwa\ibnorca_ui\src\app\components\pra-direccion-sistema\pra-direccion-sistema.component.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
